L1D,L1I,L2,Unrolling,Cycles
2,2,128,2,60081042
2,2,128,4,59891554
2,2,128,8,59725456
2,2,128,16,64577590
2,2,128,32,65964857
2,2,256,2,60072548
2,2,256,4,59879447
2,2,256,8,59724841
2,2,256,16,64567504
2,2,256,32,65945624
2,2,512,2,60044481
2,2,512,4,59851598
2,2,512,8,59695298
2,2,512,16,64535491
2,2,512,32,65915695
2,2,1024,2,60050932
2,2,1024,4,59859649
2,2,1024,8,59721495
2,2,1024,16,64590547
2,2,1024,32,65905894
2,4,128,2,60052006
2,4,128,4,59858033
2,4,128,8,59695527
2,4,128,16,59608257
2,4,128,32,64167239
2,4,256,2,60015379
2,4,256,4,59826980
2,4,256,8,59666432
2,4,256,16,59577220
2,4,256,32,64154741
2,4,512,2,59997548
2,4,512,4,59804658
2,4,512,8,59651582
2,4,512,16,59567628
2,4,512,32,64139482
2,4,1024,2,60002142
2,4,1024,4,59818325
2,4,1024,8,59668235
2,4,1024,16,59595748
2,4,1024,32,64132057
2,8,128,2,60027253
2,8,128,4,59839196
2,8,128,8,59682387
2,8,128,16,59582240
2,8,128,32,59447087
2,8,256,2,60028680
2,8,256,4,59843989
2,8,256,8,59679828
2,8,256,16,59588952
2,8,256,32,59433024
2,8,512,2,59989637
2,8,512,4,59796799
2,8,512,8,59640670
2,8,512,16,59558694
2,8,512,32,59419737
2,8,1024,2,60010763
2,8,1024,4,59819360
2,8,1024,8,59684784
2,8,1024,16,59604321
2,8,1024,32,59419589
2,16,128,2,60011401
2,16,128,4,59823426
2,16,128,8,59666611
2,16,128,16,59566667
2,16,128,32,59433718
2,16,256,2,59994356
2,16,256,4,59810595
2,16,256,8,59646506
2,16,256,16,59554474
2,16,256,32,59421670
2,16,512,2,59976177
2,16,512,4,59783328
2,16,512,8,59631870
2,16,512,16,59541266
2,16,512,32,59405973
2,16,1024,2,59987178
2,16,1024,4,59804852
2,16,1024,8,59653552
2,16,1024,16,59582937
2,16,1024,32,59403912
2,32,128,2,60006919
2,32,128,4,59812469
2,32,128,8,59662845
2,32,128,16,59563620
2,32,128,32,59430135
2,32,256,2,60011876
2,32,256,4,59825774
2,32,256,8,59663664
2,32,256,16,59572118
2,32,256,32,59416847
2,32,512,2,59982135
2,32,512,4,59797250
2,32,512,8,59632502
2,32,512,16,59551831
2,32,512,32,59406515
2,32,1024,2,59993107
2,32,1024,4,59802439
2,32,1024,8,59663097
2,32,1024,16,59588134
2,32,1024,32,59407995
2,64,128,2,60006280
2,64,128,4,59817249
2,64,128,8,59649940
2,64,128,16,59561536
2,64,128,32,59429607
2,64,256,2,60009586
2,64,256,4,59826030
2,64,256,8,59661082
2,64,256,16,59568382
2,64,256,32,59418854
2,64,512,2,59991357
2,64,512,4,59809313
2,64,512,8,59642188
2,64,512,16,59561520
2,64,512,32,59401007
2,64,1024,2,59977410
2,64,1024,4,59793795
2,64,1024,8,59649219
2,64,1024,16,59567103
2,64,1024,32,59396985
4,2,128,2,59974493
4,2,128,4,59780093
4,2,128,8,59623404
4,2,128,16,64469137
4,2,128,32,65792603
4,2,256,2,59955953
4,2,256,4,59757661
4,2,256,8,59613751
4,2,256,16,64458181
4,2,256,32,65789602
4,2,512,2,59928798
4,2,512,4,59739548
4,2,512,8,59578497
4,2,512,16,64420371
4,2,512,32,65770036
4,2,1024,2,59920018
4,2,1024,4,59730736
4,2,1024,8,59585682
4,2,1024,16,64457719
4,2,1024,32,65775105
4,4,128,2,59922258
4,4,128,4,59726777
4,4,128,8,59573077
4,4,128,16,59477547
4,4,128,32,64012291
4,4,256,2,59906721
4,4,256,4,59713508
4,4,256,8,59553752
4,4,256,16,59467910
4,4,256,32,63993794
4,4,512,2,59881839
4,4,512,4,59692488
4,4,512,8,59531732
4,4,512,16,59452728
4,4,512,32,63984564
4,4,1024,2,59870034
4,4,1024,4,59681096
4,4,1024,8,59538917
4,4,1024,16,59466457
4,4,1024,32,63998673
4,8,128,2,59919913
4,8,128,4,59721294
4,8,128,8,59575313
4,8,128,16,59474976
4,8,128,32,59287222
4,8,256,2,59901179
4,8,256,4,59702769
4,8,256,8,59558909
4,8,256,16,59459666
4,8,256,32,59276261
4,8,512,2,59875352
4,8,512,4,59697756
4,8,512,8,59533389
4,8,512,16,59445836
4,8,512,32,59267556
4,8,1024,2,59863154
4,8,1024,4,59675910
4,8,1024,8,59533574
4,8,1024,16,59460376
4,8,1024,32,59282517
4,16,128,2,59906335
4,16,128,4,59718316
4,16,128,8,59561746
4,16,128,16,59462975
4,16,128,32,59272455
4,16,256,2,59887177
4,16,256,4,59699268
4,16,256,8,59544085
4,16,256,16,59450711
4,16,256,32,59262487
4,16,512,2,59859779
4,16,512,4,59682085
4,16,512,8,59517709
4,16,512,16,59429686
4,16,512,32,59254268
4,16,1024,2,59847455
4,16,1024,4,59660218
4,16,1024,8,59520745
4,16,1024,16,59444672
4,16,1024,32,59267239
4,32,128,2,59902356
4,32,128,4,59708364
4,32,128,8,59546421
4,32,128,16,59458705
4,32,128,32,59272293
4,32,256,2,59882638
4,32,256,4,59693544
4,32,256,8,59540351
4,32,256,16,59444385
4,32,256,32,59262193
4,32,512,2,59857909
4,32,512,4,59676851
4,32,512,8,59514170
4,32,512,16,59428014
4,32,512,32,59253329
4,32,1024,2,59847088
4,32,1024,4,59659805
4,32,1024,8,59520519
4,32,1024,16,59444293
4,32,1024,32,59267044
4,64,128,2,59897608
4,64,128,4,59692138
4,64,128,8,59552848
4,64,128,16,59453488
4,64,128,32,59269513
4,64,256,2,59882080
4,64,256,4,59688444
4,64,256,8,59534601
4,64,256,16,59438999
4,64,256,32,59259568
4,64,512,2,59854946
4,64,512,4,59667987
4,64,512,8,59511242
4,64,512,16,59424411
4,64,512,32,59251501
4,64,1024,2,59844629
4,64,1024,4,59660986
4,64,1024,8,59514000
4,64,1024,16,59438104
4,64,1024,32,59266398
8,2,128,2,59882740
8,2,128,4,59675385
8,2,128,8,59532840
8,2,128,16,64377788
8,2,128,32,65761944
8,2,256,2,59872557
8,2,256,4,59670025
8,2,256,8,59528921
8,2,256,16,64367291
8,2,256,32,65750239
8,2,512,2,59856363
8,2,512,4,59669450
8,2,512,8,59516319
8,2,512,16,64348525
8,2,512,32,65732567
8,2,1024,2,59854024
8,2,1024,4,59668552
8,2,1024,8,59527970
8,2,1024,16,64362370
8,2,1024,32,65729582
8,4,128,2,59834056
8,4,128,4,59645622
8,4,128,8,59484874
8,4,128,16,59389666
8,4,128,32,63971039
8,4,256,2,59822692
8,4,256,4,59629650
8,4,256,8,59476009
8,4,256,16,59387095
8,4,256,32,63952705
8,4,512,2,59803639
8,4,512,4,59623178
8,4,512,8,59460409
8,4,512,16,59374345
8,4,512,32,63945141
8,4,1024,2,59805469
8,4,1024,4,59622259
8,4,1024,8,59474342
8,4,1024,16,59398508
8,4,1024,32,63963422
8,8,128,2,59826244
8,8,128,4,59637744
8,8,128,8,59476823
8,8,128,16,59381481
8,8,128,32,59249179
8,8,256,2,59814729
8,8,256,4,59621745
8,8,256,8,59467857
8,8,256,16,59373334
8,8,256,32,59239129
8,8,512,2,59798276
8,8,512,4,59613501
8,8,512,8,59457814
8,8,512,16,59367163
8,8,512,32,59232198
8,8,1024,2,59797610
8,8,1024,4,59614406
8,8,1024,8,59466322
8,8,1024,16,59394093
8,8,1024,32,59251345
8,16,128,2,59812023
8,16,128,4,59605110
8,16,128,8,59462071
8,16,128,16,59365909
8,16,128,32,59233404
8,16,256,2,59802077
8,16,256,4,59614795
8,16,256,8,59449846
8,16,256,16,59361057
8,16,256,32,59224369
8,16,512,2,59785094
8,16,512,4,59598634
8,16,512,8,59439573
8,16,512,16,59355340
8,16,512,32,59216598
8,16,1024,2,59779420
8,16,1024,4,59590329
8,16,1024,8,59457383
8,16,1024,16,59371523
8,16,1024,32,59229719
8,32,128,2,59810162
8,32,128,4,59621811
8,32,128,8,59460642
8,32,128,16,59365582
8,32,128,32,59230732
8,32,256,2,59801168
8,32,256,4,59617111
8,32,256,8,59459018
8,32,256,16,59365410
8,32,256,32,59220530
8,32,512,2,59777776
8,32,512,4,59590686
8,32,512,8,59437664
8,32,512,16,59348398
8,32,512,32,59213549
8,32,1024,2,59779125
8,32,1024,4,59594311
8,32,1024,8,59453308
8,32,1024,16,59371090
8,32,1024,32,59233232
8,64,128,2,59809541
8,64,128,4,59620912
8,64,128,8,59459922
8,64,128,16,59364708
8,64,128,32,59226433
8,64,256,2,59795538
8,64,256,4,59601854
8,64,256,8,59446704
8,64,256,16,59354977
8,64,256,32,59219534
8,64,512,2,59776907
8,64,512,4,59589902
8,64,512,8,59436828
8,64,512,16,59347554
8,64,512,32,59210896
8,64,1024,2,59780635
8,64,1024,4,59597708
8,64,1024,8,59449576
8,64,1024,16,59371229
8,64,1024,32,59229146
16,2,128,2,42927154
16,2,128,4,42733030
16,2,128,8,42547387
16,2,128,16,47489095
16,2,128,32,48862125
16,2,256,2,42956769
16,2,256,4,42763158
16,2,256,8,42576149
16,2,256,16,47516363
16,2,256,32,48853389
16,2,512,2,42938683
16,2,512,4,42739799
16,2,512,8,42556802
16,2,512,16,47486864
16,2,512,32,48846881
16,2,1024,2,42934503
16,2,1024,4,42701162
16,2,1024,8,42552790
16,2,1024,16,47487017
16,2,1024,32,48854684
16,4,128,2,42920206
16,4,128,4,42728131
16,4,128,8,42541540
16,4,128,16,42480342
16,4,128,32,47021179
16,4,256,2,42867042
16,4,256,4,42655850
16,4,256,8,42486615
16,4,256,16,42415135
16,4,256,32,47005389
16,4,512,2,42856277
16,4,512,4,42656657
16,4,512,8,42475360
16,4,512,16,42466733
16,4,512,32,46993897
16,4,1024,2,42872026
16,4,1024,4,42638578
16,4,1024,8,42490500
16,4,1024,16,42430485
16,4,1024,32,47036568
16,8,128,2,42917142
16,8,128,4,42704280
16,8,128,8,42536251
16,8,128,16,42464497
16,8,128,32,42348777
16,8,256,2,42859122
16,8,256,4,42648059
16,8,256,8,42478848
16,8,256,16,42407096
16,8,256,32,42319313
16,8,512,2,42848490
16,8,512,4,42648597
16,8,512,8,42467435
16,8,512,16,42458439
16,8,512,32,42305111
16,8,1024,2,42893873
16,8,1024,4,42706678
16,8,1024,8,42517274
16,8,1024,16,42456812
16,8,1024,32,42317482
16,16,128,2,42856748
16,16,128,4,42662594
16,16,128,8,42476896
16,16,128,16,42430107
16,16,128,32,42364112
16,16,256,2,42851227
16,16,256,4,42640054
16,16,256,8,42470953
16,16,256,16,42399310
16,16,256,32,42303425
16,16,512,2,42832918
16,16,512,4,42633024
16,16,512,8,42451708
16,16,512,16,42442765
16,16,512,32,42331310
16,16,1024,2,42854824
16,16,1024,4,42661620
16,16,1024,8,42474361
16,16,1024,16,42423687
16,16,1024,32,42304824
16,32,128,2,42896336
16,32,128,4,42704142
16,32,128,8,42517622
16,32,128,16,42456527
16,32,128,32,42364001
16,32,256,2,42882981
16,32,256,4,42690091
16,32,256,8,42503221
16,32,256,16,42429937
16,32,256,32,42349991
16,32,512,2,42832540
16,32,512,4,42632665
16,32,512,8,42451213
16,32,512,16,42442378
16,32,512,32,42303175
16,32,1024,2,42846707
16,32,1024,4,42614724
16,32,1024,8,42465867
16,32,1024,16,42406528
16,32,1024,32,42290697
16,64,128,2,42847633
16,64,128,4,42653655
16,64,128,8,42468035
16,64,128,16,42429024
16,64,128,32,42355906
16,64,256,2,42882318
16,64,256,4,42689445
16,64,256,8,42502575
16,64,256,16,42429346
16,64,256,32,42296718
16,64,512,2,42862961
16,64,512,4,42664979
16,64,512,8,42484747
16,64,512,16,42424496
16,64,512,32,42281144
16,64,1024,2,42881609
16,64,1024,4,42642479
16,64,1024,8,42494666
16,64,1024,16,42435640
16,64,1024,32,42290697
32,2,128,2,42633139
32,2,128,4,42408820
32,2,128,8,42278590
32,2,128,16,47203705
32,2,128,32,48476108
32,2,256,2,42615513
32,2,256,4,42388331
32,2,256,8,42260428
32,2,256,16,47190629
32,2,256,32,48469042
32,2,512,2,42593171
32,2,512,4,42372590
32,2,512,8,42278075
32,2,512,16,47172264
32,2,512,32,48468154
32,2,1024,2,42613514
32,2,1024,4,42386812
32,2,1024,8,42249559
32,2,1024,16,47174806
32,2,1024,32,48465027
32,4,128,2,42582247
32,4,128,4,42376394
32,4,128,8,42227791
32,4,128,16,42176201
32,4,128,32,46641610
32,4,256,2,42566105
32,4,256,4,42360875
32,4,256,8,42210819
32,4,256,16,42175966
32,4,256,32,46630542
32,4,512,2,42547045
32,4,512,4,42324475
32,4,512,8,42188091
32,4,512,16,42142063
32,4,512,32,46626522
32,4,1024,2,42561435
32,4,1024,4,42338489
32,4,1024,8,42196291
32,4,1024,16,42167147
32,4,1024,32,46657847
32,8,128,2,42575972
32,8,128,4,42371441
32,8,128,8,42222596
32,8,128,16,42172525
32,8,128,32,41936302
32,8,256,2,42560010
32,8,256,4,42333603
32,8,256,8,42205709
32,8,256,16,42154135
32,8,256,32,41927819
32,8,512,2,42538550
32,8,512,4,42317834
32,8,512,8,42223325
32,8,512,16,42142345
32,8,512,32,41925687
32,8,1024,2,42555135
32,8,1024,4,42344797
32,8,1024,8,42190099
32,8,1024,16,42163477
32,8,1024,32,41951750
32,16,128,2,42560220
32,16,128,4,42355671
32,16,128,8,42206921
32,16,128,16,42171087
32,16,128,32,41922370
32,16,256,2,42544648
32,16,256,4,42318006
32,16,256,8,42190023
32,16,256,16,42138513
32,16,256,32,41915840
32,16,512,2,42525189
32,16,512,4,42301016
32,16,512,8,42168009
32,16,512,16,42132783
32,16,512,32,41912526
32,16,1024,2,42537040
32,16,1024,4,42311710
32,16,1024,8,42172754
32,16,1024,16,42143178
32,16,1024,32,41937471
32,32,128,2,42556824
32,32,128,4,42352360
32,32,128,8,42202548
32,32,128,16,42161488
32,32,128,32,41915945
32,32,256,2,42542140
32,32,256,4,42336820
32,32,256,8,42186975
32,32,256,16,42151758
32,32,256,32,41910851
32,32,512,2,42523168
32,32,512,4,42300476
32,32,512,8,42163771
32,32,512,16,42126176
32,32,512,32,41904833
32,32,1024,2,42539155
32,32,1024,4,42328735
32,32,1024,8,42174047
32,32,1024,16,42149619
32,32,1024,32,41937471
32,64,128,2,42555824
32,64,128,4,42350808
32,64,128,8,42200307
32,64,128,16,42165258
32,64,128,32,41916657
32,64,256,2,42541392
32,64,256,4,42336106
32,64,256,8,42186381
32,64,256,16,42151147
32,64,256,32,41907687
32,64,512,2,42521468
32,64,512,4,42294895
32,64,512,8,42161371
32,64,512,16,42115097
32,64,512,32,41901786
32,64,1024,2,42535629
32,64,1024,4,42313729
32,64,1024,8,42169829
32,64,1024,16,42141013
32,64,1024,32,41932719
64,2,128,2,42784357
64,2,128,4,42578973
64,2,128,8,42406007
64,2,128,16,47321361
64,2,128,32,48768826
64,2,256,2,42609892
64,2,256,4,42385501
64,2,256,8,42255433
64,2,256,16,47177367
64,2,256,32,48467253
64,2,512,2,42592999
64,2,512,4,42387350
64,2,512,8,42233198
64,2,512,16,47150503
64,2,512,32,48468154
64,2,1024,2,42602537
64,2,1024,4,42393114
64,2,1024,8,42255961
64,2,1024,16,47162073
64,2,1024,32,48465027
64,4,128,2,42733502
64,4,128,4,42532255
64,4,128,8,42359877
64,4,128,16,42308127
64,4,128,32,46906198
64,4,256,2,42563572
64,4,256,4,42341314
64,4,256,8,42208502
64,4,256,16,42173604
64,4,256,32,46628132
64,4,512,2,42542727
64,4,512,4,42322916
64,4,512,8,42225411
64,4,512,16,42150236
64,4,512,32,46626627
64,4,1024,2,42555261
64,4,1024,4,42333648
64,4,1024,8,42193205
64,4,1024,16,42152672
64,4,1024,32,46653428
64,8,128,2,42729540
64,8,128,4,42524324
64,8,128,8,42351241
64,8,128,16,42301419
64,8,128,32,42191721
64,8,256,2,42556208
64,8,256,4,42333456
64,8,256,8,42200512
64,8,256,16,42165653
64,8,256,32,41926679
64,8,512,2,42539692
64,8,512,4,42316617
64,8,512,8,42179944
64,8,512,16,42134035
64,8,512,32,41922700
64,8,1024,2,42547594
64,8,1024,4,42338412
64,8,1024,8,42201198
64,8,1024,16,42159086
64,8,1024,32,41953044
64,16,128,2,42713968
64,16,128,4,42506211
64,16,128,8,42335603
64,16,128,16,42285727
64,16,128,32,42176815
64,16,256,2,42542539
64,16,256,4,42316589
64,16,256,8,42234409
64,16,256,16,42136472
64,16,256,32,41910851
64,16,512,2,42525189
64,16,512,4,42301016
64,16,512,8,42167751
64,16,512,16,42127605
64,16,512,32,41904968
64,16,1024,2,42535233
64,16,1024,4,42308869
64,16,1024,8,42171264
64,16,1024,16,42142327
64,16,1024,32,41936030
64,32,128,2,42710230
64,32,128,4,42501495
64,32,128,8,42330954
64,32,128,16,42282101
64,32,128,32,42174260
64,32,256,2,42537217
64,32,256,4,42309754
64,32,256,8,42181680
64,32,256,16,42141013
64,32,256,32,41906326
64,32,512,2,42517024
64,32,512,4,42292689
64,32,512,8,42159763
64,32,512,16,42124369
64,32,512,32,41901806
64,32,1024,2,42531819
64,32,1024,4,42320948
64,32,1024,8,42167727
64,32,1024,16,42129178
64,32,1024,32,41932986
64,64,128,2,42707972
64,64,128,4,42498109
64,64,128,8,42328732
64,64,128,16,42280094
64,64,128,32,42169367
64,64,256,2,42538014
64,64,256,4,42330842
64,64,256,8,42182350
64,64,256,16,42142216
64,64,256,32,41904339
64,64,512,2,42516360
64,64,512,4,42291977
64,64,512,8,42158958
64,64,512,16,42123591
64,64,512,32,41903919
64,64,1024,2,42534131
64,64,1024,4,42307546
64,64,1024,8,42169919
64,64,1024,16,42141013
64,64,1024,32,41929435
